Name,Folding Barrier,Handle Barrier,Spacer Barrier,Net Binding Energy,Folding Energy,Binding Energy,Handle Fraction,Net Energy,Handle Penalty,Spacer Structure Fraction,Spacer Net Energy,Spacer Penalty,Handle-Spacer Penalty,MS2 in MFE?,Available Seed Bases,Kinetic Handle?,Kinetic MS2?,Kinetic Handle Barrier,Thermo 5 prime bases,Kinetic 5 prime bases,Kinetic Bind Barrier,Local Fraction (5),Local Fraction (10),MFEpath Convergence,Stringent Convergence,Spacer GC Content,Seed GC Content,Spacer ddG,Kinetic Bind ddG,tracer duplex net energy,tracer duplex (ROUGH) barrier,tracr duplex handle formed?,tracr duplex ms2 formed?,Spacer-only Barrier,Spacer-only ddG,Fluorescence
C,10.2,0.0,10.2,-32.0,7.7,-39.7,0.9448466337712261,-32.7,0.0,0.55,-32.0,7.0,7.7,True,3.0,1000,1000,1000.0,1000,3,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.5,7.7,1000.0,1000.0,1000,1000,1000,5.1,-2.5,
D,8.8,0.0,8.8,-32.1,8.0,-40.1,0.9586574614505308,-32.8,0.0,0.6,-32.1,7.3,8.0,True,3.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.625,8.0,1000.0,1000.0,1000,1000,1000,6.0,-2.8999999999999986,
F,12.0,12.0,8.9,-30.2,8.8,-39.0,0.006832711591799924,-30.9,2.8,0.5,-33.0,8.1,6.0,True,4.0,1000,1000,1000.0,1000,4,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.625,6.0,1000.0,1000.0,1000,1000,1000,5.4,-2.6999999999999993,
G,12.0,5.8,8.5,-30.3,6.1,-36.4,0.007990054084151243,-30.8,3.5,0.6,-33.8,5.6,2.6,True,3.0,1000,1000,1000.0,1000,5,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.5,2.6,1000.0,1000.0,1000,1000,1000,0.0,0.0,
H,18.9,7.5,14.3,-18.0,13.7,-31.7,0.0005086753961206982,-18.5,4.6,0.75,-22.6,13.2,9.1,True,1.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.4,0.5,9.1,1000.0,1000.0,1000,1000,1000,6.9,-1.8000000000000007,
I,10.9,9.4,6.13,-16.4,6.7,-23.1,0.004828783725708033,-17.1,3.4,0.6,-19.8,6.0,3.3,True,7.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.2,0.0,3.3,1000.0,1000.0,1000,1000,1000,0.0,0.0,
J,11.0,0.0,11.0,-30.1,5.0,-35.1,0.2667594574346699,-30.6,0.0,0.4,-30.1,4.5,5.0,True,8.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.45,0.25,5.0,1000.0,1000.0,1000,1000,1000,0.0,0.0,
K,14.9,0.0,14.9,-18.6,14.9,-33.5,0.9944080362185769,-19.3,0.0,0.55,-18.6,14.2,14.9,True,2.0,1000,1000,1000.0,1000,6,1000.0,1000.0,1000.0,1000.0,1000.0,0.4,0.375,14.9,1000.0,1000.0,1000,1000,1000,0.0,0.0,
L,32.7,0.0,32.7,-1.3,32.7,-34.0,0.9944511211438528,-2.0,0.0,0.9,-1.3,32.0,32.7,True,0.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.45,0.5,32.7,1000.0,1000.0,1000,1000,1000,3.4,-0.3000000000000007,
M,5.0,0.0,5.0,-32.7,4.5,-37.2,0.9397142980519133,-33.4,0.0,0.5,-32.7,3.8,4.5,True,4.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.5,0.5,4.5,1000.0,1000.0,1000,1000,1000,3.6,-1.0999999999999979,
